druh,obsah,datace,zobrazeno,xid,signatura,start_date,end_date,geolocation_position_lon,geolocation_position_lat,geolocation_type,geolocation_endpoint,autor,poznámka,scan_count,scan_previews,scan_zoomify_paths
pozitiv,Pohled do dvora domu čp. 791 (U Lhotků) na nároží Václavského náměstí a Vodičkovy ulice na Novém Městě krátce před zbořením. Uprostřed kašna.,kol.1912,56x,A1186FFAB67611DF820F00166F1163D4,V 9/6 b,1912-01-01,1912-12-31,14.42553,50.08197,regional.address,geocode,"Bufka, Vladimír Jindřich",,,[],[]
pozitiv,Pohled do zahrady Valdštejnského paláce (dům čp. 17) na Malé Straně se salou terrenou.,před 1923,36x,3925B7315A6311E7A69B406186009F3A,I 12118,1800-01-01,1922-12-31,14.40535,50.09003,regional.address,geocode,,,,[],[]
negativ,"Průhled Kaprovou ulicí s domy čp. 33, 31 (zprava) na Starém Městě krátce před zbořením.",26.8.1906,33x,A14CE1A8B67611DF820F00166F1163D4,VIII 907,1906-08-26,1906-08-26,14.41835,50.08793,regional.address,geocode,Eckert-ateliér,,,[],[]
negativ,Pohled do dnešní ulice Magdalény Rettigové s domem čp. 47 na Novém Městě (škola u Nejsvětější Trojice). Vlevo část kostela Nejsvětější Trojice ve Spálené ulici.,18.10.1910,28x,569AE984187311E28DC36C626D41E503,XII 1232,1910-10-18,1910-10-18,14.42036,50.07983,regional.address,geocode,Eckert-ateliér,,0.0,[],[]
pozitiv,Pohled na orloj Staroměstské radnice (dům čp. 1 na Starém Městě) na Staroměstském náměstí. V popředí stanice tramvaje č. 5.,1894,66x,D79635DE90E111E8B3B474D435EEBE90,V 69/1 b,1894-01-01,1894-12-31,14.42009,50.087,regional.address,suggest,,,,[],[]
negativ,"Pohled na spojovací můstek chrámu sv. Víta na Pražském hradě mezi věží a ""trubačským schodištěm"" - při stavbě.",[1863-1905],37x,F155D6E1070C11E286836C626D41E503,XII 654,,,14.39995,50.09041,regional.address,geocode,"Eckert, Jindřich (1833-1905)",Datace neznámá. Za účelem vyhledávání byla nastavena na časový rozsah celé sbírky.,0.0,[],[]
pozitiv,Pohled na vilu Amerika (dům čp. 462) v ulici Ke Karlovu na Novém Městě.,1890,39x,EF3563EDBDCC11E493C10024BE7CD9AC,V 4/13,1890-01-01,1890-12-31,14.42692,50.07369,regional.address,geocode,Bellmann,,,[],[]
pozitiv,Pohled do zahrady bývalého Tereziánského ústavu šlechtičen na Pražském hradě (dům čp. 2 na Hradčanech).,před 1926,34x,A0C502EFB67611DF820F00166F1163D4,I 4239,1800-01-01,1925-12-31,14.40339,50.09134,regional.address,geocode,"Vojta, Tomáš (1885-1934)",,,[],[]
negativ,"Pohled na sochu Panny Marie, která je součástí sousoší Panna Marie se svatým Dominikem a svatým Tomášem Akvinským na Karlově mostě.",1908,38x,73200747748B11E49FFF0024BE7CD9AC,XI 652,1908-01-01,1908-12-31,14.41126,50.0865,poi,suggest,"Kříženecký, Jan (1868-1921)",Autorství J. Kříženeckého není jisté.,0.0,[],[]
pozitiv,"Pohled na vstupní portál domu čp. 384 (""U zlaté lopaty"") v ulici Na Můstku na Starém Městě.",15.8.1913,12x,A0C4F5DFB67611DF820F00166F1163D4,VI 15/31,1913-08-15,1913-08-15,14.42269,50.08469,regional.address,geocode,,,,[],[]
